WKT,name,description
"POLYGON ((-0.2370361 5.7399256, -0.2411559 5.7360399, -0.2407268 5.7256209, -0.2286247 5.7234431, -0.223389 5.7312147, -0.226436 5.739584, -0.2370361 5.7399256))",achimota_polygon,
"POLYGON ((-0.2261758 5.7395991, -0.226436 5.739584, -0.223389 5.7312147, -0.2238583 5.728497, -0.2186656 5.7241841, -0.2104687 5.7282408, -0.2126574 5.7387451, -0.2170348 5.7430151, -0.2261758 5.7395991))",achimota_zone 2,
"POLYGON ((-0.2411072 5.7252816, -0.2453987 5.7165278, -0.2255289 5.7115316, -0.2196066 5.7190899, -0.2286247 5.7234431, -0.2411072 5.7252816))",estate_a,
"POLYGON ((-0.223389 5.7310439, -0.2283614 5.7234454, -0.2193062 5.718791, -0.2186656 5.7240133, -0.2238583 5.7283262, -0.223389 5.7310439))",abokobi_zone_a,
"POLYGON ((-0.2104687 5.7282408, -0.2186656 5.7241841, -0.2196066 5.7190899, -0.2088828 5.706749, -0.1983256 5.7162289, -0.2104687 5.7282408))",ashongman_abokobi_c,
"POLYGON ((-0.2193062 5.718791, -0.2255289 5.7115316, -0.2154059 5.7016247, -0.2088828 5.706749, -0.2193062 5.718791))",taifa_zone_a,
"POLYGON ((-0.2443308 5.7158873, -0.2462191 5.7046139, -0.2361769 5.7026495, -0.2311987 5.7088841, -0.2265639 5.7113609, -0.2443308 5.7158873))",ashongman_estate_zone_d,
"POLYGON ((-0.2257914 5.7108485, -0.2264781 5.7105922, -0.2311987 5.7088841, -0.2350611 5.703162, -0.2249331 5.7000874, -0.2160925 5.7017101, -0.2257914 5.7108485))",ash_estate_zone_f,
"POLYGON ((-0.2462191 5.7046139, -0.2480216 5.6957316, -0.2414126 5.6965857, -0.2358336 5.7020517, -0.2462191 5.7046139))",kwabenya_a,
"POLYGON ((-0.2350611 5.703162, -0.2378077 5.6996603, -0.2330012 5.6927424, -0.2249331 5.7000874, -0.2350611 5.703162))",kwabenya_c,
"POLYGON ((-0.2378077 5.6996603, -0.2414126 5.6965857, -0.2481932 5.6950484, -0.2330012 5.6927424, -0.2378077 5.6996603))",kwabenya_b,
"POLYGON ((-0.2249331 5.7000874, -0.229568 5.69539, -0.2175517 5.6935964, -0.2112002 5.6972689, -0.2154059 5.7016247, -0.2249331 5.7000874))",ashongman_estate_e,
"POLYGON ((-0.2148051 5.7017955, -0.2112002 5.6972689, -0.2051062 5.7010268, -0.2088828 5.706749, -0.2148051 5.7017955))",hatso_a,
"POLYGON ((-0.2480216 5.6957316, -0.2517981 5.6906926, -0.2444167 5.688472, -0.2427859 5.6935964, -0.2480216 5.6957316))",kwabenya_d,
"POLYGON ((-0.24476 5.6944505, -0.2427859 5.6935964, -0.2444167 5.688472, -0.2378935 5.688472, -0.2348895 5.6927424, -0.24476 5.6944505))",ashongman_melcom,
"POLYGON ((-0.229568 5.69539, -0.2330012 5.6927424, -0.2348895 5.6927424, -0.2378935 5.688472, -0.2175517 5.6935964, -0.229568 5.69539))",ashongman_v,
"POLYGON ((-0.2088828 5.706749, -0.2051062 5.7010268, -0.19103 5.7069198, -0.1983256 5.7162289, -0.2088828 5.706749))",love_economy,
"POLYGON ((-0.2517981 5.6906926, -0.2630419 5.6894115, -0.2526564 5.6832621, -0.2378935 5.688472, -0.2444167 5.688472, -0.2517981 5.6906926))",kwabenya_pokuasi,
"POLYGON ((-0.2630419 5.6894115, -0.2517981 5.6906926, -0.2480216 5.6957316, -0.2587504 5.6982938, -0.2630419 5.6894115))",kwabenya_kfc,
"POLYGON ((-0.2587504 5.6982938, -0.2480216 5.6957316, -0.2462191 5.7046139, -0.2566905 5.7072614, -0.2587504 5.6982938))",kwabenya_t,
"POLYGON ((-0.2317137 5.6894969, -0.2453608 5.6858243, -0.2402968 5.6811269, -0.2305979 5.6810414, -0.2317137 5.6894969))",veggies,
"POLYGON ((-0.2402968 5.6811269, -0.2453608 5.6858243, -0.2526564 5.6832621, -0.2505965 5.6781375, -0.2402968 5.6811269))",regimanuel,
"POLYGON ((-0.2302546 5.6816393, -0.2199549 5.6853119, -0.2192683 5.6929132, -0.2317137 5.6894969, -0.2302546 5.6816393))",veggies_b,
"POLYGON ((-0.2199549 5.6853119, -0.2060504 5.6889844, -0.208282 5.6984646, -0.2192683 5.6929132, -0.2199549 5.6853119))",academic_city,
"POLYGON ((-0.2057929 5.6895823, -0.1975531 5.6968419, -0.202188 5.7019663, -0.2083678 5.6990625, -0.2057929 5.6895823))",agbogba,
"POLYGON ((-0.1975531 5.6968419, -0.19103 5.7069198, -0.202188 5.7019663, -0.1975531 5.6968419))",Love economy_c,
